*** Avec FheUint512:
Mesures individuelles pour Addition:
Mesure 13: 4.979257864s
Mesure 14: 4.783209368s
Mesure 15: 4.927729978s
Mesure 16: 4.729632594s
Mesure 17: 4.810502491s
Mesure 18: 4.700298109s
Mesure 19: 4.742562899s
Mesure 20: 4.718484545s
Moyenne: 4.782433536s

*** Avec FheUint256:
Mesures individuelles pour Addition:
Mesure 1: 4.263061712s
Mesure 2: 4.164236167s
Mesure 3: 4.147704415s
Mesure 4: 4.161559377s
Mesure 5: 4.156764692s
Mesure 6: 4.208459262s
Mesure 7: 4.185387195s
Mesure 8: 4.17713326s
Mesure 9: 4.178322754s
Mesure 10: 4.208222766s
Mesure 11: 4.238539414s
Mesure 12: 4.17019328s
Mesure 13: 4.15423975s
Mesure 14: 4.198355426s
Mesure 15: 4.191987537s
Mesure 16: 4.135765533s
Mesure 17: 4.130084484s
Mesure 18: 4.165740881s
Mesure 19: 4.145060594s
Mesure 20: 4.117858692s
Moyenne: 4.174933859s

Mesures individuelles pour Soustraction:
Mesure 1: 4.16341039s
Mesure 2: 4.143295737s
Mesure 3: 4.14772274s
Mesure 4: 4.152656102s
Mesure 5: 4.18917471s
Mesure 6: 4.17084198s
Mesure 7: 4.159007598s
Mesure 8: 4.169125501s
Mesure 9: 4.245708083s
Mesure 10: 4.13378607s
Mesure 11: 4.135756042s
Mesure 12: 4.148313344s
Mesure 13: 4.227386556s
Mesure 14: 4.165952713s
Mesure 15: 4.141664357s
Mesure 16: 4.132734834s
Mesure 17: 4.146188491s
Mesure 18: 4.171075914s
Mesure 19: 4.140243912s
Mesure 20: 4.165532551s
Moyenne: 4.162478881s

Mesures individuelles pour Multiplication:
Mesure 1: 209.506973461s
Mesure 2: 208.426681836s
Mesure 3: 208.157087873s
Mesure 4: 208.915017922s
Mesure 5: 208.694764199s
Mesure 6: 209.497783743s
Mesure 7: 209.438033308s
Mesure 8: 209.825190419s
Mesure 9: 209.920925666s
Mesure 10: 209.499071661s
Mesure 11: 209.887956767s
Mesure 12: 209.675157451s
Mesure 13: 210.014312693s
Mesure 14: 210.072561752s
Mesure 15: 209.9024175s
Mesure 16: 207.671047995s
Mesure 17: 207.525001967s
Mesure 18: 206.932142691s
Mesure 19: 207.91955005s
Mesure 20: 207.430594557s
Moyenne: 208.945613675s

Mesures individuelles pour ET binaire:
Mesure 1: 922.177047ms
Mesure 2: 927.864093ms
Mesure 3: 915.104994ms
Mesure 4: 941.875275ms
Mesure 5: 932.054934ms
Mesure 6: 946.323553ms
Mesure 7: 944.023013ms
Mesure 8: 967.460667ms
Mesure 9: 928.080701ms
Mesure 10: 935.330657ms
Mesure 11: 955.766207ms
Mesure 12: 948.422754ms
Mesure 13: 920.136782ms
Mesure 14: 917.423893ms
Mesure 15: 921.879427ms
Mesure 16: 944.820778ms
Mesure 17: 908.45056ms
Mesure 18: 1.076275733s
Mesure 19: 919.79771ms
Mesure 20: 935.184426ms
Moyenne: 940.42266ms

Mesures individuelles pour OU binaire:
Mesure 1: 938.989865ms
Mesure 2: 922.890078ms
Mesure 3: 950.839551ms
Mesure 4: 943.382902ms
Mesure 5: 937.804141ms
Mesure 6: 957.836609ms
Mesure 7: 959.458141ms
Mesure 8: 1.089756626s
Mesure 9: 920.708469ms
Mesure 10: 925.873766ms
Mesure 11: 949.391364ms
Mesure 12: 1.058055055s
Mesure 13: 940.327729ms
Mesure 14: 921.323684ms
Mesure 15: 930.723455ms
Mesure 16: 926.886125ms
Mesure 17: 1.028452883s
Mesure 18: 1.05466865s
Mesure 19: 929.960885ms
Mesure 20: 917.352149ms
Moyenne: 960.234106ms

Mesures individuelles pour XOR binaire:
Mesure 1: 892.223036ms
Mesure 2: 921.80695ms
Mesure 3: 1.100334971s
Mesure 4: 949.270532ms
Mesure 5: 927.354931ms
Mesure 6: 936.110213ms
Mesure 7: 918.477679ms
Mesure 8: 1.042341292s
Mesure 9: 940.381145ms
Mesure 10: 955.414114ms
Mesure 11: 963.066485ms
Mesure 12: 1.114444803s
Mesure 13: 928.953488ms
Mesure 14: 917.205763ms
Mesure 15: 912.604353ms
Mesure 16: 910.092918ms
Mesure 17: 1.08561164s
Mesure 18: 934.320032ms
Mesure 19: 916.174061ms
Mesure 20: 941.307874ms
Moyenne: 960.374814ms

Mesures individuelles pour Egalité:
Mesure 1: 1.276408669s
Mesure 2: 1.280376942s
Mesure 3: 1.356221003s
Mesure 4: 1.268351333s
Mesure 5: 1.259552299s
Mesure 6: 1.267184288s
Mesure 7: 1.291124939s
