nb_chiffres,operation_Addition,operation_Addition constante,operation_Addition homomorphe,operation_Casting,operation_Chiffrement,operation_Dechiffrement,operation_Division,operation_Division homomorphe,operation_ET binaire,operation_Egalite,operation_Generation cles,operation_Generation des cles,operation_Inegalite,operation_Inégalité,operation_Multiplication,operation_Multiplication constante,operation_Multiplication homomorphe,operation_NOT,operation_OU binaire,operation_Shift,operation_Soustraction,operation_Soustraction homomorphe,operation_Superieur,operation_Superieur ou egal,operation_Supérieur,operation_Supérieur ou égal,operation_XOR binaire,operation_Égalité,param_tfhe_FheInt64,param_tfhe_FheUint1024,param_tfhe_FheUint128,param_tfhe_FheUint16,param_tfhe_FheUint2048,param_tfhe_FheUint256,param_tfhe_FheUint32,param_tfhe_FheUint512,param_tfhe_FheUint64,param_tfhe_FheUint8,param_tfhe_Global,type_donnee_entier,type_donnee_flottant,complexite_operation_complexe,complexite_operation_moyenne,complexite_operation_rapide,temps_moyen_log
1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,-3.0793591695086775
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,-5.140681534902884
1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,-0.9185905233934573
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,-1.3734208260615108
1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,-5.2247537402597635
1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,-4.831590916480374
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,-5.535659515372333
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,-4.956480539754244
1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,-4.8698914796390635
1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,-2.8425731529756004
